row,col,hsa,hs,ha,thsa,ths,tha
57,7,23,18,5,127,116,11
60,7,188,38,150,534,235,299
61,7,11,6,5,73,51,22
62,7,72,40,32,492,357,135
1,8,5,2,3,20,16,4
2,8,702,693,9,2551,2514,37
3,8,1192,1150,42,4815,4497,318
4,8,121,121,0,435,389,46
5,8,415,377,38,1308,1218,90
6,8,141,141,0,1074,727,347
7,8,341,323,18,1265,1003,262
8,8,74,74,0,612,379,233
9,8,32,32,0,273,168,105
10,8,87,87,0,629,607,22
11,8,21,21,0,164,153,11
12,8,61,61,0,456,428,28
13,8,66,66,0,226,208,18
14,8,209,186,23,850,757,93
15,8,121,121,0,827,817,10
16,8,230,230,0,868,847,21
17,8,63,63,0,452,442,10
18,8,115,115,0,458,424,34
19,8,93,93,0,354,342,12
20,8,473,439,34,1515,1430,85
22,8,22,22,0,85,84,1
24,8,76,76,0,261,257,4
27,8,5,5,0,8,8,0
32,8,352,291,61,1647,1452,195
33,8,227,207,20,1046,969,77
34,8,5,5,0,18,15,3
35,8,776,749,27,2992,2884,108
36,8,780,780,0,2932,2882,50
37,8,3,2,1,17,9,8
38,8,9,9,0,49,48,1
39,8,156,156,0,371,321,50
40,8,69,30,39,227,134,93
41,8,68,67,1,332,329,3
42,8,118,99,19,548,446,102
43,8,39,39,0,81,75,6
44,8,130,120,10,467,446,21
45,8,10,10,0,25,25,0
46,8,9,4,5,18,12,6
47,8,3,1,2,8,3,5
48,8,442,442,0,2300,2053,247
49,8,451,424,27,2152,1956,196
53,8,19,3,16,122,12,110
54,8,5,5,0,9,5,4
55,8,23,15,8,74,53,21
56,8,18,18,0,66,61,5
57,8,11,9,2,79,73,6
60,8,112,34,78,328,149,179
61,8,5,4,1,48,33,15
62,8,41,19,22,251,162,89
1,9,4,4,0,13,12,1
2,9,316,310,6,1256,1236,20
3,9,565,540,25,2323,2163,160
4,9,58,58,0,198,174,24
5,9,174,156,18,652,605,47
6,9,81,81,0,769,485,284
7,9,209,192,17,783,600,183
8,9,41,41,0,416,266,150
9,9,23,23,0,194,97,97
10,9,30,30,0,269,260,9
11,9,9,9,0,76,73,3
12,9,23,23,0,206,196,10
13,9,26,26,0,116,106,10
14,9,102,91,11,381,342,39
15,9,35,35,0,365,361,4
16,9,93,93,0,354,344,10
17,9,20,20,0,188,179,9
18,9,73,73,0,239,225,14
19,9,51,51,0,167,166,1
20,9,170,162,8,582,547,35
22,9,10,10,0,42,42,0
24,9,48,45,3,146,138,8
30,9,2,2,0,5,4,1
32,9,173,133,40,837,699,138
33,9,90,84,6,518,477,41
34,9,3,3,0,9,9,0
35,9,330,320,10,1496,1435,61
36,9,368,368,0,1445,1430,15
37,9,6,4,2,14,10,4
38,9,9,9,0,19,19,0
39,9,77,77,0,224,192,32
40,9,35,19,16,120,82,38
41,9,44,42,2,202,199,3
42,9,49,40,9,240,193,47
43,9,30,30,0,44,42,2
44,9,60,55,5,236,225,11
46,9,3,2,1,6,4,2
48,9,238,238,0,1421,1275,146
49,9,213,200,13,1298,1176,122
53,9,16,0,16,50,0,50
55,9,5,3,2,27,16,11
56,9,7,7,0,31,30,1
57,9,5,4,1,49,45,4
60,9,46,12,34,140,66,74
62,9,21,14,7,120,95,25
1,10,15,14,1,30,28,2
2,10,962,947,15,3647,3590,57
3,10,1542,1455,87,6191,5789,402
4,10,186,186,0,648,581,67
5,10,629,590,39,1992,1882,110
6,10,210,210,0,1678,1090,588
7,10,566,520,46,2088,1614,474
8,10,103,103,0,998,588,410
9,10,49,49,0,407,229,178
10,10,120,120,0,785,745,40
11,10,37,37,0,226,219,7
12,10,85,85,0,613,573,40
13,10,82,82,0,303,286,17
14,10,303,281,22,1171,1071,100
15,10,155,155,0,1062,1039,23
16,10,294,294,0,1129,1084,45
17,10,60,60,0,548,530,18
18,10,164,164,0,562,531,31
19,10,155,155,0,495,484,11
20,10,555,510,45,1827,1716,111
22,10,19,17,2,92,89,3
24,10,132,131,1,427,419,8
32,10,569,448,121,2585,2256,329
33,10,333,308,25,1658,1532,126
34,10,3,3,0,13,13,0
35,10,1078,1051,27,4362,4213,149
36,10,1068,1068,0,4108,4057,51
37,10,10,7,3,39,27,12
38,10,13,13,0,59,56,3
39,10,267,267,0,634,533,101
40,10,110,51,59,384,218,166
41,10,112,111,1,458,453,5
42,10,185,162,23,790,665,125
43,10,67,67,0,132,125,7
44,10,249,230,19,909,858,51
45,10,12,12,0,39,39,0
46,10,6,4,2,25,15,10
47,10,7,2,5,18,4,14
48,10,695,695,0,3732,3345,387
49,10,706,654,52,3450,3113,337
53,10,39,0,39,229,5,224
54,10,8,8,0,17,9,8
55,10,29,22,7,97,71,26
56,10,29,29,0,81,74,7
57,10,31,27,4,142,131,11
60,10,113,24,89,369,177,192
61,10,14,5,9,63,34,29
62,10,86,51,35,473,371,102
1,11,7,6,1,35,34,1
2,11,1266,1254,12,4674,4613,61
3,11,2153,2060,93,8697,8166,531
4,11,242,242,0,818,739,79
5,11,719,658,61,2367,2227,140
6,11,201,201,0,1794,1139,655
7,11,575,511,64,2155,1641,514
8,11,116,116,0,1092,629,463
9,11,46,46,0,458,258,200
10,11,140,140,0,1053,1015,38
11,11,50,50,0,321,305,16
12,11,103,103,0,831,784,47
13,11,92,92,0,387,364,23
14,11,359,329,30,1439,1302,137
15,11,199,199,0,1421,1400,21
16,11,396,396,0,1416,1383,33
17,11,90,90,0,766,742,24
18,11,222,222,0,843,785,58
19,11,191,191,0,685,660,25
20,11,742,702,40,2307,2205,102
22,11,32,32,0,103,103,0
24,11,186,179,7,655,634,21
27,11,5,4,1,12,10,2
29,11,5,5,0,7,7,0
30,11,3,3,0,5,5,0
32,11,792,635,157,3380,2911,469
33,11,453,411,42,2083,1931,152
34,11,15,15,0,27,27,0
35,11,1259,1221,38,4962,4780,182
36,11,1260,1260,0,4702,4630,72
37,11,14,13,1,45,36,9
38,11,21,21,0,56,55,1
39,11,382,382,0,943,790,153
40,11,173,93,80,569,328,241
41,11,144,141,3,588,584,4
42,11,186,142,44,865,686,179
43,11,43,43,0,91,83,8
44,11,340,323,17,1263,1214,49
45,11,16,16,0,44,44,0
46,11,4,1,3,13,5,8
47,11,5,3,2,23,8,15
48,11,815,815,0,4331,3875,456
49,11,767,711,56,3964,3585,379
53,11,38,0,38,198,8,190
54,11,3,3,0,9,8,1
55,11,25,20,5,110,83,27
56,11,14,14,0,81,70,11
57,11,35,27,8,203,190,13
60,11,164,30,134,512,212,300
61,11,14,2,12,71,41,30
62,11,84,58,26,509,397,112
1,12,7,7,0,21,21,0
2,12,557,548,9,2101,2069,32
3,12,1298,1242,56,5239,4906,333
4,12,127,127,0,402,373,29
5,12,327,301,26,1107,1047,60
6,12,159,159,0,1154,755,399
7,12,350,315,35,1306,999,307
8,12,69,69,0,686,385,301
9,12,33,33,0,290,166,124
10,12,57,57,0,502,476,26
11,12,22,22,0,149,137,12
12,12,57,57,0,408,386,22
13,12,51,51,0,203,189,14
14,12,195,184,11,781,711,70
15,12,78,78,0,683,671,12
16,12,204,204,0,743,724,19
17,12,47,47,0,369,354,15
18,12,133,133,0,475,437,38
19,12,108,108,0,356,340,16
20,12,366,350,16,1205,1140,65
22,12,19,18,1,59,57,2
24,12,117,111,6,353,341,12
32,12,341,246,95,1585,1284,301
33,12,197,175,22,987,909,78
34,12,7,7,0,20,20,0
35,12,567,542,25,2271,2164,107
36,12,566,566,0,2102,2073,29
37,12,7,4,3,25,19,6
38,12,10,10,0,45,45,0
39,12,253,253,0,605,527,78
40,12,98,43,55,346,175,171
41,12,67,66,1,257,255,2
42,12,92,73,19,371,302,69
43,12,25,25,0,52,45,7
44,12,218,211,7,842,819,23
45,12,6,6,0,22,22,0
46,12,4,1,3,10,5,5
47,12,3,0,3,11,4,7
48,12,361,361,0,2058,1835,223
49,12,379,357,22,1951,1779,172
53,12,8,0,8,58,3,55
55,12,12,11,1,44,35,9
56,12,6,6,0,18,18,0
57,12,10,10,0,60,57,3
60,12,104,25,79,288,136,152
61,12,5,1,4,31,19,12
62,12,30,19,11,230,169,61
2,13,251,243,8,1068,1045,23
3,13,371,356,15,1749,1637,112
4,13,59,59,0,203,172,31
