rarity, ship, name, source, image
2, Admiral/Kongou, Doting On Kongou, https://www.pixiv.net/artworks/55853361, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_doting_on_kongou.jpg
2, Duca degli Abruzzi/Giuseppe Garibaldi, Duca Degli Abruzzi Class, https://www.pixiv.net/artworks/76512645, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_duca_degli_abruzzi_class.jpg
2, Admiral/Shigure/Taigei, End Of Summer, https://www.pixiv.net/artworks/58769396, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_end_of_summer.jpg
2, Fubuki/Hatsuyuki/Isonami/Miyuki/Murakumo/Shirayuki/Uranami, Fubuki Class, https://www.pixiv.net/artworks/54546573, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_fubuki_class.jpg
2, Kashima, Garden Duty Kashima, https://www.pixiv.net/artworks/58397125, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_garden_duty_kashima.jpg
2, Graf Zeppelin, Graf Zeppelins Me Time, https://www.pixiv.net/artworks/54303546, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_graf_zeppelins_me_time.jpg
2, Abyssal, Harbor Summer Princess, https://www.pixiv.net/artworks/58632284, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_harbor_summer_princess.jpg
2, Haruna, Haruna Lends A Hand, https://www.pixiv.net/artworks/54911377, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_haruna_lends_a_hand.jpg
2, Hibiki, Hibikis Cuddly Pet, https://www.pixiv.net/artworks/60926319, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_hibikis_cuddly_pet.jpg
2, I-13/I-14, Hitomi And Iyo, https://www.pixiv.net/artworks/61715042, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_hitomi_and_iyo.jpg
2, Inazuma, Inazuma Unleashed, https://www.pixiv.net/artworks/54984467, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_inazuma_unleashed.jpg
2, Isuzu, Isuzus Holiday, https://www.pixiv.net/artworks/65040818, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_isuzus_holiday.jpg
2, Janus/Jervis, Janus And Jervis, https://twitter.com/i/web/status/1176822078961381376, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_janus_and_jervis.jpg
2, Yura, Jumping Right In, https://www.pixiv.net/artworks/53626810, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_jumping_right_in.jpg
2, Kasumi, Kasumi On The Beach, https://twitter.com/i/web/status/1129915398474743809, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_kasumi_on_the_beach.jpg
2, Kongou, Kongou Barrage, https://www.pixiv.net/artworks/55501143, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_kongou_barrage.jpg
2, Haruna/Hiei/Kirishima/Kongou, Kongou Class, https://www.pixiv.net/artworks/40143576, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_kongou_class.jpg
2, Kiso/Kitakami/Kuma/Ooi/Tama, Kuma Class, https://www.pixiv.net/artworks/64171933, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_kuma_class.jpg
2, Kumano/Suzuya, Kumano And Suzuya, https://www.pixiv.net/artworks/40229390, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_kumano_and_suzuya.jpg
2, Abyssal, Light Cruiser Oni, https://www.pixiv.net/artworks/55627486, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_light_cruiser_oni.jpg
2, Hamakaze, Light Snack, https://twitter.com/kirishina_maru/status/932023203001655297, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_light_snack.jpg
2, Abyssal, Like Royalty, https://www.pixiv.net/artworks/73995187, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_like_royalty.jpg
2, Maikaze/Nowaki, Maikaze And Nowaki, https://twitter.com/i/web/status/537254029898686465, https://amusementclub.nyc3.cdn.digitaloceanspaces.com/cards/kancolle/2_maikaze_and_nowaki.jpg
